t	a1	a2	da1	da2	
0	0	0	0	0	
0	0	0	0	0	
8.22778e-07	0	0	-2.99595e-07	-2.37674e-07	
1.23417e-06	-2.77313e-13	-2.19997e-13	-4.49384e-07	-3.56511e-07	
3.29111e-06	-1.97188e-12	-1.56442e-12	-1.19832e-06	-9.50695e-07	
3.65679e-06	-2.4343e-12	-1.93138e-12	-1.33146e-06	-1.05633e-06	
4.11389e-06	-3.08095e-12	-2.4444e-12	-1.49788e-06	-1.18837e-06	
4.11389e-06	-3.08112e-12	-2.44441e-12	-1.49788e-06	-1.18837e-06	
8.22778e-06	-9.24324e-12	-7.33322e-12	-2.99567e-06	-2.37673e-06	
1.02847e-05	-1.92562e-11	-1.52775e-11	-3.74435e-06	-2.97091e-06	
2.05694e-05	-7.70077e-11	-6.11097e-11	-7.48749e-06	-5.94179e-06	
2.23978e-05	-9.12906e-11	-7.2456e-11	-8.15282e-06	-6.46994e-06	
2.46833e-05	-1.10876e-10	-8.79975e-11	-8.98442e-06	-7.13013e-06	
2.46833e-05	-1.10897e-10	-8.79981e-11	-8.98442e-06	-7.13013e-06	
4.52528e-05	-2.95701e-10	-2.34661e-10	-1.64686e-05	-1.30718e-05	
5.55375e-05	-5.61291e-10	-4.45487e-10	-2.02052e-05	-1.60425e-05	
0.000106961	-2.0797e-09	-1.65234e-09	-3.88824e-05	-3.08959e-05	
0.000116103	-2.4484e-09	-1.94681e-09	-4.21993e-05	-3.35365e-05	
0.000127531	-2.95453e-09	-2.34891e-09	-4.63445e-05	-3.68371e-05	
0.000127531	-2.95717e-09	-2.34898e-09	-4.63449e-05	-3.68371e-05	
0.000230378	-7.72361e-09	-6.13757e-09	-8.36449e-05	-6.65424e-05	
0.000281801	-1.44226e-08	-1.14689e-08	-0.000102158	-8.13916e-05	
0.000538919	-5.24622e-08	-4.19379e-08	-0.000194534	-0.000155635	
0.000584629	-6.14894e-08	-4.9347e-08	-0.000210839	-0.000168832	
0.000641767	-7.41507e-08	-5.94654e-08	-0.000231234	-0.000185327	
0.000641767	-7.44761e-08	-5.94743e-08	-0.000231285	-0.000185326	
0.001156	-1.93411e-07	-1.54776e-07	-0.000414626	-0.000333778	
0.00141312	-3.58944e-07	-2.88308e-07	-0.000502611	-0.000407923	
0.00269871	-1.27077e-06	-1.05065e-06	-0.000933863	-0.000778668	
0.00292726	-1.46419e-06	-1.23531e-06	-0.00100366	-0.00084465	
0.00321295	-1.7711e-06	-1.48836e-06	-0.00109597	-0.000926959	
0.00321295	-1.80956e-06	-1.48952e-06	-0.00110239	-0.000926794	
0.00443319	-3.15473e-06	-2.62043e-06	-0.001492	-0.00127836	
0.00504331	-4.36217e-06	-3.6685e-06	-0.00165916	-0.00145384	
0.0080939	-1.03939e-05	-9.43859e-06	-0.00240988	-0.00233207	
0.00863623	-1.1272e-05	-1.07365e-05	-0.00246784	-0.00248939	
0.00931414	-1.31607e-05	-1.24884e-05	-0.00260855	-0.00268429	
0.00931414	-1.37727e-05	-1.25013e-05	-0.00269125	-0.00268232	
0.00945131	-1.41419e-05	-1.28693e-05	-0.00271784	-0.00272176	
0.0095199	-1.43306e-05	-1.30593e-05	-0.00273062	-0.00274148	
0.00986283	-1.52773e-05	-1.40164e-05	-0.00279392	-0.00284007	
0.00992379	-1.54468e-05	-1.419e-05	-0.00280483	-0.0028576	
0.01	-1.56612e-05	-1.44086e-05	-0.0028184	-0.00287951	
0.01	-1.56628e-05	-1.44086e-05	-0.00281847	-0.00287951	
0.0106859	-1.75959e-05	-1.63836e-05	-0.00293993	-0.00307668	
0.0110288	-1.86561e-05	-1.75232e-05	-0.00298758	-0.00317526	
0.0127434	-2.39021e-05	-2.33901e-05	-0.00320546	-0.00366823	
0.0130483	-2.47351e-05	-2.45213e-05	-0.00323009	-0.00375597	
0.0134293	-2.59959e-05	-2.59733e-05	-0.00326585	-0.00386551	
0.0134293	-2.61985e-05	-2.59737e-05	-0.00327495	-0.00386535	
0.0147434	-3.05023e-05	-3.10533e-05	-0.0033902	-0.00424315	
0.0154005	-3.28245e-05	-3.41516e-05	-0.00339496	-0.00443209	
0.0186859	-4.33903e-05	-5.02649e-05	-0.00333354	-0.00537722	
0.0192699	-4.41794e-05	-5.34543e-05	-0.00325688	-0.00554581	
0.02	-4.67341e-05	-5.75787e-05	-0.0031919	-0.0057559	
0.02	-4.8289e-05	-5.75792e-05	-0.00324414	-0.00575506	
0.022	-5.47773e-05	-6.90894e-05	-0.0030464	-0.00633053	
0.023	-5.75765e-05	-7.61392e-05	-0.00281784	-0.00661847	
0.028	-6.64673e-05	-0.000112835	-0.00153331	-0.00805847	
0.0288889	-6.31563e-05	-0.000120119	-0.00119041	-0.00831515	
0.03	-6.48895e-05	-0.000129533	-0.000775381	-0.00863546	
0.03	-7.1065e-05	-0.000129524	-0.000854482	-0.00863434	
0.032	-7.27739e-05	-0.000146792	-0.00011141	-0.00921043	
0.033	-7.19565e-05	-0.000156723	0.000369754	-0.00949848	
0.038	-6.21138e-05	-0.000207816	0.00278126	-0.0109375	
0.0388889	-5.51432e-05	-0.000217657	0.00318562	-0.0111924	
0.04	-5.14394e-05	-0.000230273	0.00383453	-0.0115122	
0.04	-5.73238e-05	-0.000230266	0.00393367	-0.0115133	
0.042	-4.94565e-05	-0.000253292	0.0050728	-0.0120885	
0.043	-4.29598e-05	-0.0002661	0.00570785	-0.0123756	
0.048	-5.30014e-06	-0.000331559	0.00878233	-0.013809	
0.0488889	5.72607e-06	-0.000343938	0.00920369	-0.0140618	
0.05	1.65697e-05	-0.000359745	0.00995798	-0.0143799	
0.05	1.24496e-05	-0.000359757	0.0101687	-0.0143822	
